web-1  | INFO:     Started server process [6]
web-1  | INFO:     Waiting for application startup.
web-1  | INFO:     Application startup complete.
web-1  | INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit)
web-1  | INFO:     127.0.0.1:57808 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:51714 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:39002 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:36634 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:46498 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:47952 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:52368 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:58990 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:44018 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:54710 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:49930 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     Started server process [8]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1       | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1       | INFO:     127.0.0.1:47276 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     172.18.0.1:41156 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     172.18.0.1:41170 - "GET /openapi.json HTTP/1.1" 200 OK
api-1       | INFO:     127.0.0.1:34496 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     127.0.0.1:35070 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     127.0.0.1:39986 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     127.0.0.1:44142 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     127.0.0.1:36294 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     127.0.0.1:53026 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     127.0.0.1:49856 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     172.18.0.5:59002 - "GET / HTTP/1.1" 404 Not Found
api-1       | INFO:     172.18.0.5:59016 - "GET /sitemap.xml HTTP/1.1" 404 Not Found
api-1       | INFO:     172.18.0.5:59002 - "GET / HTTP/1.1" 404 Not Found
api-1       | INFO:     172.18.0.5:59014 - "GET /robots.txt HTTP/1.1" 404 Not Found
api-1       | INFO:     127.0.0.1:58902 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     127.0.0.1:52278 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     127.0.0.1:46108 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     172.18.0.5:53976 - "GET /openapi.json HTTP/1.1" 200 OK
api-1       | INFO:     172.18.0.5:53976 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     172.18.0.5:53976 - "GET /1805981148573489669 HTTP/1.1" 404 Not Found
api-1       | INFO:     172.18.0.5:53976 - "GET / HTTP/1.1" 404 Not Found
api-1       | INFO:     172.18.0.5:53976 - "GET / HTTP/1.1" 404 Not Found
api-1       | INFO:     172.18.0.5:53976 - "GET / HTTP/1.1" 404 Not Found
